word,language
තෙල්,Sinhala
بطاقة,Arabic
vaikai,Lithuanian
spéir,Irish
habilidade,Portuguese
manokana,Malagasy
хурсандӣ,Tajik
දුන්,Sinhala
الدم,Arabic
milho,Portuguese
Oh,Myanmar
metall,Swedish
suster,Frisian
mozika,Malagasy
è,Italian
mempersiapkan,Indonesian
蒙,Chinese
ghrian,Irish
Gone,Scots
tarraingeadh,Scots
nose,Croatian
ajo,Albanian
Прво,Serbian
баян,Kyrgyz
greutate,Romanian
хийх,Mongolian
mangsa,Javanese
tuai,Samoan
ഫൈനലിൽ,Malayalam
juntos,Spanish
fara,Icelandic
sempre,Portuguese
කඩිමුඩියේ,Sinhala
kalikan,Indonesian
كان,Arabic
بسيطة,Arabic
ezantsi,Xhosa
رایت,Persian
сугласник,Serbian
ڪپڙا,Sindhi
காலனி,Tamil
ಎಂಜಿನ್,Kannada
bianco,Italian
intornu,Corsican
میوه,Persian
ទិញ,Khmer
құйрық,Kazakh
ហ្វូងមនុស្ស,Khmer
الأنف,Arabic
läsa,Swedish
լեզու,Armenian
Wonder,Irish
goavana,Malagasy
ti,Haitian
діапазон,Ukrainian
nerrînî,Kurdish
kunnen,Hausa
yang,Indonesian
ankommen,German
led,Croatian
moitié,French
tsara,Malagasy
taith,Welsh
derbäi,Luxembourgish
xizmat,Uzbek
stretch,Frisian
sinif,Azerbaijani
eredua,Basque
zolimba,Chichewa
musik,Indonesian
सोना,Hindi
название,Russian
толук,Kyrgyz
umero,Latin
ווירקונג,Yiddish
පැවැත්වීමට,Sinhala
ਲੰਬੇ,Punjabi
arsylwi,Welsh
라디오,Korean
lagbara,Yoruba
نوڪري,Sindhi
ndege,Chichewa
mwisho,Swahili
balla,Irish
ομάδα,Greek
គ្នា,Khmer
dolina,Bosnian
vento,Italian
ja,Latvian
cravată,Romanian
staðar,Icelandic
verden,Norwegian
lang,Dutch
பார்க்க,Tamil
chiziq,Uzbek
top,Albanian
zoustand,Luxembourgish
sloupec,Czech
akwụkwọ,Igbo
නඩුව,Sinhala
пур,Tajik
deziri,Esperanto
ਦੇਣਗੇ,Punjabi
negre,Catalan
kii,Hawaiian
paus,Hmong
لوی,Pashto
handel,Frisian
ਕੀ,Punjabi
ਟਿਊਬ,Punjabi
handel,Polish
a,Croatian
Гон,Tajik
del,Danish
hvernig,Icelandic
ប្រាំ,Khmer
egin,Basque
ಮಾಂಸ,Kannada
положение,Russian
không,Vietnamese
թող,Armenian
tun,Uzbek
szeretnék,Hungarian
biasa,Indonesian
usum,Sundanese
qûm,Kurdish
komen,Haitian
පසුගිය,Sinhala
նրան,Armenian
eng,Uzbek
tshebetso,Sesotho
azterketa,Basque
quotient,Indonesian
àmanu,Corsican
trojúhelník,Czech
zašto,Croatian
благодаря,Bulgarian
them,English
kuamua,Swahili
Правилно,Serbian
tama,Maori
pole,Czech
prentjie,Afrikaans
остани,Serbian
puntuazio,Basque
makili,Javanese
wear,English
slažu,Bosnian
takki,Finnish
оқу,Kazakh
위치,Korean
নির্ভর,Bengali
အမျက်ဒေါသ,Myanmar
na,Slovak
rezultat,Romanian
тэмдэг,Mongolian
សប្តាហ៍,Khmer
קפטן,Hebrew
അക്ഷരങ്ങൾ,Malayalam
kitob,Uzbek
segmento,Esperanto
پہاڑ,Urdu
de,Latin
шеберлік,Kazakh
weydii,Somali
lata,Spanish
se,French
lagu,Sundanese
eduki,Basque
day,English
ตาราง,Thai
cek,Sundanese
neće,Croatian
nyandhang,Javanese
isibonelelo,Xhosa
տաք,Armenian
su,Lithuanian
sakola,Sundanese
nëmmen,Luxembourgish
টাকা,Bengali
isinxibo,Xhosa
কিনা,Bengali
មើលឃើញ,Khmer
proprietà,Italian
tak,Danish
edat,Catalan
σημείωση,Greek
պարի,Armenian
remen,Sundanese
p’un,Welsh
naro,Shona
anjir,Uzbek
mangan,Javanese
مالیدن,Persian
pecah,Indonesian
hery,Malagasy
সম্ভাব্য,Bengali
share,Hausa
heild,Icelandic
taip,Lithuanian
smysl,Czech
catch,Indonesian
အခြေအနေ,Myanmar
komès,Haitian
kus,Afrikaans
രാവിലെ,Malayalam
kos,Slovenian
жінка,Ukrainian
"cavallo,",Corsican
ffaith,Welsh
escribir,Galician
сердце,Russian
農場,Japanese
ကိုလိုနီ,Myanmar
éxito,Spanish
өте,Kazakh
jelas,Indonesian
tour,French
topp,Swedish
produeix,Catalan
আগে,Bengali
espero,Basque
උත්සාහ,Sinhala
လူ့,Myanmar
mriksa,Javanese
nunda,Corsican
зани,Tajik
skinne,Danish
medve,Hungarian
rekor,Kurdish
ўключаюць,Belarusian
асосии,Tajik
তাপ,Bengali
latè,Haitian
funt,Uzbek
cika,Hausa
verhuizing,Dutch
害怕,Chinese
ไฟฟ้า,Thai
osha,Swahili
byose,Kinyarwanda
inanga,Kinyarwanda
грузовик,Russian
آواز,Urdu
haraka,Swahili
pemë,Albanian
kujenga,Swahili
ozeano,Basque
ಮೋಜಿನ,Kannada
laangwelleg,Luxembourgish
ulu,Hawaiian
శరీర,Telugu
많은,Korean
քաղաքի,Armenian
autó,Hungarian
schüler,Luxembourgish
metal,Haitian
ми,Serbian
इस,Hindi
chete,Shona
sile,Yoruba
haere,Maori
benotzung,Luxembourgish
მშრალი,Georgian
verdade,Portuguese
ikusmena,Basque
ನಿಮಿಷದ,Kannada
aole,Hawaiian
květina,Czech
oh,Indonesian
ആര്,Malayalam
noma,Zulu
керектүү,Kyrgyz
загавораў,Belarusian
sì,Italian
dağ,Turkish
dewer,Kurdish
koma,Kurdish
taun,Javanese
वर्तमान,Hindi
men,Uzbek
शर्यत,Marathi
elektrisk,Danish
voorbeeld,Dutch
ბლოკი,Georgian
daha,Turkish
lámh,Irish
គូរ,Khmer
هیچ,Persian
piirtää,Finnish
heal,Frisian
atnāca,Latvian
ratio,Latin
korrekt,Swedish
ŝia,Esperanto
varsel,Norwegian
करू,Marathi
ihlathi,Xhosa
chiến,Vietnamese
asi,Shona
gwanwyn,Welsh
ekipman,Haitian
klada,Croatian
akts,Latvian
alət,Azerbaijani
agba,Igbo
zęby,Polish
şarj,Turkish
លោកបាន,Khmer
girinhi,Shona
اک,Sindhi
aan,Dutch
जोडी,Nepali
ຈໍານວນທັງຫມົດ,Lao
mua,Maori
nūja,Latvian
شيدې,Pashto
本,Chinese
מושבה,Hebrew
kính,Vietnamese
λεξικό,Greek
Нев,Serbian
sao,Samoan
камтарин,Tajik
paks,Estonian
nauda,Latvian
ngwa,Igbo
kuwa,Shona
kale,Somali
vloeistof,Afrikaans
chăm,Vietnamese
वसन्त,Nepali
farasi,Swahili
бы,Russian
ತಂಪಾಗಿದೆ,Kannada
നിര,Malayalam
ugyanaz,Hungarian
kmieni,Maltese
dolar,Indonesian
kuzamura,Kinyarwanda
中,Chinese
вероватно,Serbian
ស្មា,Khmer
basis,Frisian
mbayar,Javanese
slave,Norwegian
kaart,Afrikaans
cholakwika,Chichewa
রেকর্ড,Bengali
მასალა,Georgian
antara,Malaysian
sehlopha,Sesotho
даліна,Belarusian
gratias,Latin
kyaftin,Hausa
הוביל,Hebrew
ceud,Scots
આ,Gujarati
substancia,Galician
ລາວ,Lao
aukera,Basque
taumafai,Samoan
uložiť,Slovak
hard,Javanese
planul,Romanian
oryginalny,Polish
шум,Bulgarian
segitiga,Indonesian
домет,Serbian
ปรับ,Thai
विंग,Marathi
од,Serbian
قوي,Arabic
ide,Indonesian
kuri,Kinyarwanda
ಹಳ್ಳಿಯ,Kannada
paĝo,Esperanto
kera,Kinyarwanda
дулаан,Mongolian
حرب,Arabic
mamma,Corsican
présent,French
ফ্রেজ,Bengali
sasih,Sundanese
Koch,German
गरम,Marathi
ligesom,Danish
menneske,Danish
iza,Croatian
купио,Serbian
forsyning,Norwegian
ជ្រើសយក,Khmer
derecho,Spanish
paragraf,Albanian
ความรู้สึก,Thai
بنابر,Persian
huelo,Hawaiian
reach,English
Тоқсан,Kazakh
taflu,Welsh
dod,Welsh
dha,Albanian
daudz,Latvian
ya,Hausa
پنجره,Persian
unité,French
omena,Finnish
phakathi,Xhosa
ngota,Maori
ronida,Estonian
претраживање,Serbian
waddo,Somali
తప్పు,Telugu
කණ්ඩායම,Sinhala
ძირითადი,Georgian
rencana,Sundanese
zawsze,Polish
barn,Welsh
kwadebe,Igbo
gümüş,Azerbaijani
tjetër,Albanian
meso,Bosnian
takot,Filipino
back,Somali
ово,Serbian
ធម្មតា,Khmer
nizm,Kurdish
uzun,Turkish
добра,Belarusian
bidaia,Basque
ставити,Ukrainian
ຄວາມຍາວ,Lao
roti,Malaysian
લખ્યું,Gujarati
корова,Russian
square,Igbo
päť,Slovak
порядок,Russian
சென்று,Tamil
အနောက်,Myanmar
बरु,Nepali
ilu,Estonian
پاراګراف,Pashto
observéieren,Luxembourgish
Посебан,Serbian
berdea,Basque
волна,Russian
kolor,Polish
byssu,Icelandic
دھکا,Urdu
în,Romanian
adil,Sundanese
вратовръзка,Bulgarian
wy,Welsh
पुन्हा,Marathi
נמוך,Hebrew
hávær,Icelandic
คะแนน,Thai
pripraviti,Slovenian
rana,Hausa
a,Scots
tandha,Javanese
unidade,Galician
ბარის,Georgian
mkpuchi,Igbo
جاء,Sindhi
école,French
pista,Basque
connect,Hausa
மஞ்சள்,Tamil
איז,Yiddish
ika,Yoruba
mouri,Haitian
ընտրել,Armenian
مادة,Arabic
praksis,Norwegian
níos,Irish
амал,Tajik
mætas,Icelandic
wale,Hawaiian
üle,Estonian
بال,Persian
sūtīt,Latvian
fasax,Somali
egia,Basque
þrír,Icelandic
misma,Spanish
উত্তর,Bengali
werkwoord,Dutch
suav,Hmong
കണക്ട്,Malayalam
빨리,Korean
foule,French
szukać,Polish
구름,Korean
orundun,Yoruba
kecap,Sundanese
en,Spanish
电,Chinese
எனக்கு,Tamil
abampofu,Zulu
தண்ணீர்,Tamil
ju,Yoruba
الأقل,Arabic
mar,Galician
dav,Slovak
ຫຼາຍທີ່ສຸດ,Lao
skerp,Frisian
jwenn,Haitian
център,Cebuano
Лади,Serbian
especial,Portuguese
اتر,Sindhi
mugdiga,Somali
tástáil,Irish
dee,Igbo
pary,Slovak
ਮਹੀਨੇ,Punjabi
aka,Igbo
bedil,Sundanese
rask,Norwegian
juft,Uzbek
pije,Albanian
peso,Italian
nomina,Indonesian
zavatra,Malagasy
ichimlik,Uzbek
ЕАР,Serbian
"frigus,",Latin
भूमि,Hindi
تا,Persian
යුද්ධය,Sinhala
окно,Russian
differ,Corsican
langt,Norwegian
a,Corsican
បាល់,Khmer
vários,Portuguese
مناسب,Urdu
päris,Estonian
ფეხით,Georgian
បន្ធូរបន្ថយ,Khmer
笑顔,Japanese
চাবি,Bengali
werfen,German
zapato,Spanish
lėmė,Lithuanian
usta,Slovenian
kure,Kinyarwanda
ثان,Arabic
lentsoe,Sesotho
लाग्यो,Nepali
trg,Bosnian
ವ್ಯವಸ್ಥೆ,Kannada
फार,Marathi
字幕,Chinese
кокус,Kyrgyz
rijeka,Croatian
বিকাশ,Bengali
ясно,Cebuano
ಚೂಪಾದ,Kannada
ذهن,Persian
umdlalo,Xhosa
ખરાબ,Gujarati
အနည်းဆုံး,Myanmar
oko,Czech
ترقی,Urdu
izleyin,Turkish
list,Hausa
سریع,Persian
kasinungalingan,Filipino
生活,Japanese
ahol,Hungarian
खुला,Hindi
прыгажосць,Belarusian
элемент,Mongolian
papel,Galician
עמק,Hebrew
yn,Welsh
paikka,Finnish
umum,Malaysian
අසල,Sinhala
අවශ්ය,Sinhala
anya,Igbo
মাইল,Bengali
राम्रो,Nepali
បាក់,Khmer
טרי,Hebrew
ụbọchị,Igbo
ব্যায়াম,Bengali
לבחור,Hebrew
אובייקט,Hebrew
gojë,Albanian
ni,Yoruba
מגנט,Hebrew
າລະນາ,Lao
stretch,Maltese
شروع,Urdu
timu,Samoan
join,Nepali
տալ,Armenian
чем,Russian
ay,Turkish
iraha,Sundanese
ыстық,Kazakh
paviršius,Lithuanian
stór,Icelandic
шест,Macedonian
බිම,Sinhala
メイン,Japanese
zaum,Hmong
ubushake,Kinyarwanda
राजधानी,Nepali
объекти,Tajik
escola,Catalan
تازہ,Urdu
radio,Indonesian
எழுத்துப்பிழை,Tamil
сад,Ukrainian
reisimine,Estonian
インスタント,Japanese
capaz,Spanish
първи,Cebuano
isandla,Xhosa
samu,Hausa
կարդալ,Armenian
шмат,Belarusian
melodia,Basque
orja,Finnish
valdymas,Lithuanian
beira,Basque
najmä,Slovak
ಬೋರ್ಡ್,Kannada
ვერცხლის,Georgian
cây,Vietnamese
көп,Kyrgyz
langsom,Danish
palla,Corsican
paldies,Latvian
set,Czech
tasavvur,Uzbek
Гранд,Ukrainian
heavy,Basque
fel,Welsh
Glocke,German
piaghja,Corsican
Kuva,Kinyarwanda
chính,Vietnamese
vhiki,Shona
revendication,French
дээд,Mongolian
कला,Hindi
արծաթ,Armenian
duhet,Albanian
swier,Frisian
mine,Finnish
អណ្តូងរ៉ែ,Khmer
谷,Japanese
ag,Irish
dyp,Norwegian
сар,Tajik
yaxşı,Azerbaijani
uangaze,Swahili
दिए,Nepali
angka,Sundanese
சிறிய,Tamil
stol,Swedish
د,Pashto
iwi,Hawaiian
კვირის,Georgian
цена,Cebuano
ਦੀ,Punjabi
අනුගමනය,Sinhala
समूह,Hindi
כך,Hebrew
саноат,Tajik
presse,Danish
vaovao,Malagasy
grossu,Corsican
ukweli,Swahili
neque,Latin
susitarti,Lithuanian
land,Dutch
barn,Swedish
પુરુષો,Gujarati
basis,Luxembourgish
மின்சார,Tamil
Estación,Galician
રાઉન્ડ,Gujarati
धुनमा,Nepali
trazer,Portuguese
kamar,Hausa
камень,Russian
развіваць,Belarusian
পরিমাপ,Bengali
להלביש,Hebrew
loaa,Hawaiian
ο,Greek
цифра,Russian
még,Hungarian
босох,Mongolian
ಅನುಭವ,Kannada
significar,Portuguese
beurat,Sundanese
丝,Chinese
પ્રેમ,Gujarati
suprotno,Bosnian
ミス,Japanese
آواز,Sindhi
ការរចនា,Khmer
eziyisisekelo,Zulu
mobil,Indonesian
oxumaq,Azerbaijani
ඈත,Sinhala
зараз,Ukrainian
ٽوپي,Sindhi
witte,Frisian
кукуруз,Serbian
mora,Croatian
një,Albanian
dritt,Maltese
befetsje,Frisian
jā,Latvian
равшан,Tajik
дизайн,Bulgarian
Devi,Corsican
δάχτυλο,Greek
די,Hebrew
tillsammans,Swedish
ન,Gujarati
bereziki,Basque
सुरक्षित,Hindi
פּינקטלעך,Yiddish
kugwira,Kinyarwanda
yo’l,Uzbek
그들,Korean
ປະເທດ,Lao
abur,Romanian
riichtaus,Luxembourgish
гузошта,Tajik
inzira,Kinyarwanda
hwylio,Welsh
de,Welsh
on,Estonian
siksè,Haitian
hårdt,Danish
সাহায্য,Bengali
បុក,Khmer
überprüfen,German
dependen,Galician
mettre,French
liệu,Vietnamese
moottori,Finnish
Репеат,Serbian
silver,Hmong
осећање,Serbian
seithuti,Sesotho
饭,Chinese
sufficit,Latin
llibre,Catalan
ოთახი,Georgian
灵,Chinese
abantu,Xhosa
აქვს,Georgian
crease,Sindhi
guteka,Kinyarwanda
poñer,Galician
fjalë,Albanian
magiliw,Filipino
vente,Norwegian
fwi,Haitian
అంగుళం,Telugu
jam,Indonesian
Други,Serbian
benda,Icelandic
睡,Chinese
pè,Haitian
thàinig,Scots
parete,Corsican
रॉक,Hindi
उपनिवेश,Nepali
zəng,Azerbaijani
mot,Swedish
นั่ง,Thai
ເຊື່ອມຕໍ່,Lao
лифт,Russian
sidoo,Somali
ਕਰਦਾ,Punjabi
henteu,Sundanese
рис,Russian
डिझाइन,Marathi
pagrindinis,Lithuanian
сабака,Belarusian
черупка,Bulgarian
wydarzenie,Polish
قدم,Sindhi
аравтын,Mongolian
mas,Filipino
maere,Maori
awọn,Yoruba
symbol,Swedish
Dzimis,Latvian
góry,Polish
করতে,Bengali
তাপমাত্রা,Bengali
pindutin,Filipino
ir,Latvian
setir,Javanese
tudott,Hungarian
бедных,Belarusian
mukadzi,Shona
کر,Urdu
станеться,Ukrainian
captură,Romanian
ҷиноҳи,Tajik
viaghju,Corsican
trano,Malagasy
וואס,Yiddish
lurzoruaren,Basque
каманда,Belarusian
ของ,Thai
geyindirin,Azerbaijani
gjetur,Albanian
vloeistof,Dutch
batang,Filipino
zijn,Dutch
ಒದಗಿಸಲು,Kannada
живот,Serbian
neònach,Scots
ისტორია,Georgian
pandangan,Malaysian
სახელმწიფო,Georgian
시작,Korean
mamua,Hawaiian
nrhiav,Hmong
grym,Welsh
atus,Javanese
ಸ್ವಯಂ,Kannada
שורה,Hebrew
آهستي,Sindhi
ストリーム,Japanese
sinira,Filipino
odštevanje,Slovenian
մնացածը,Armenian
szegmens,Hungarian
multum,Latin
три,Macedonian
زمین,Urdu
атрымаў,Belarusian
কথা,Bengali
Schlüssel,German
vader,Afrikaans
pode,Galician
көктем,Kazakh
iki,Hawaiian
פֿיס,Yiddish
ana,Javanese
fikk,Norwegian
kambag’al,Uzbek
parent,English
bangi,Somali
antsika,Malagasy
banja,Chichewa
අඩු,Sinhala
oinez,Basque
spodný,Slovak
menyediakan,Malaysian
الثالث,Arabic
sentenza,Maltese
μετράνε,Greek
real,Norwegian
log,Albanian
ke,Zulu
چیف,Urdu
மூன்று,Tamil
సమయం,Telugu
nighean,Scots
pick,Dutch
primerjati,Slovenian
Umlando,Zulu
muhle,Zulu
en,Catalan
muti,Shona
ọwọ,Yoruba
jogo,Portuguese
colonia,Italian
relier,French
آن,Pashto
djeg,Albanian
даде,Macedonian
kosten,Dutch
talafātai,Samoan
otú,Igbo
motsamaisi,Sesotho
malamig,Filipino
רגע,Hebrew
nospiediet,Latvian
ການທົດສອບ,Lao
akar,Indonesian
yetib,Uzbek
عجيب,Sindhi
απέναντι,Greek
dood,Dutch
semente,Portuguese
dy,Frisian
Fógra,Irish
விண்வெளி,Tamil
ດ້ານ,Lao
on,Hmong
ред,Macedonian
phrase,French
orra,Scots
mitondra,Malagasy
studiente,Corsican
előre,Hungarian
नेहमीच्या,Marathi
struja,Bosnian
sòl,Catalan
schelp,Dutch
conveniunt,Latin
եւ,Armenian
zwanzig,German
ထက်,Myanmar
চোখ,Bengali
nini,Swahili
pasėlių,Lithuanian
gurpila,Basque
wikiwiki,Hawaiian
piac,Hungarian
遠い,Japanese
honderd,Dutch
shamisika,Shona
napsat,Czech
استخدام,Arabic
koei,Afrikaans
correcto,Galician
алдыңкы,Kyrgyz
才是,Chinese
belakirin,Kurdish
nuwe,Afrikaans
ਉਡੀਕ,Punjabi
جملہ,Urdu
pane,Hawaiian
kwoushamwari,Shona
nav,Kurdish
නිවැරදි,Sinhala
miss,Dutch
sanduku,Swahili
regelen,Dutch
കൂടെ,Malayalam
atharrachadh,Scots
तयार,Marathi
moleku,Yoruba
мъж,Cebuano
வரி,Tamil
do,Croatian
سره,Pashto
단절,Korean
huis,Afrikaans
om,Danish
murna,Hausa
cento,Galician
порт,Kyrgyz
pelle,Italian
beat,English
bus,Lithuanian
minut,Estonian
light,English
perseverant,Latin
ħin,Maltese
дзевяць,Belarusian
komeza,Kinyarwanda
grupo,Esperanto
job,Danish
기록,Korean
על,Hebrew
gotowe,Polish
verso,Corsican
udarac,Bosnian
havas,Esperanto
ishe,Shona
μηχανή,Greek
巨大な,Japanese
経験,Japanese
test,Norwegian
tuit,Scots
為,Chinese
غږ,Pashto
Swim,Bosnian
wee,Igbo
mil,Portuguese
station,Hausa
umuryango,Kinyarwanda
densa,Latin
oskus,Estonian
imela,Slovenian
hasil,Sundanese
kağız,Azerbaijani
makina,Filipino
extraño,Spanish
folt,Hungarian
decidă,Romanian
side,English
wag,Afrikaans
jantung,Indonesian
da,Hausa
shpejtë,Albanian
tu,Swahili
ฉัน,Thai
büyüdü,Turkish
lliw,Welsh
मिश्रण,Nepali
Баща,Cebuano
bölmek,Turkish
испрати,Macedonian
बढ़त,Hindi
by,Frisian
раніца,Belarusian
война,Bulgarian
ach,Irish
badirudi,Basque
តម្រូវឱ្យមាន,Khmer
unidad,Spanish
birimo,Kinyarwanda
kokubili,Zulu
self,Hungarian
أسبوع,Arabic
položaj,Croatian
വേണം,Malayalam
सामूहिक,Hindi
pos,Sundanese
pão,Portuguese
છે,Gujarati
jasno,Bosnian
pêvgirêdan,Kurdish
рӯй,Tajik
වත්මන්,Sinhala
